Column1,Community Name,Community ID,Aliases,Local Government,Main Language,Land Council,Other Languages,Electorate,Population,Longitude,Latitude,Location
76,Acacia Larrakia - Family Outstation,279,Acacia Gap,Litchfield,Kriol,Northern Land Council,Not recorded,Goyder,32,131.172,-12.814,
525,Adbanae - Family Outstation,979,Trepang Bay,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,131.975,-11.242,Access is via the Araru Point road (approx 60 km) then via a dirt track for approx 12 km.
379,Adelaide Bore - Family Outstation,1,"Woola, Woola Downs and Woolla",Central Desert,Not recorded,Central Land Council,Not recorded,Barkly,28,133.936,-22.215,"50KMS EAST OF TI TREE * WOOLA DOWNS *, 240KMS VIA TI TREE"
260,Adelaide River - Village,10153,,Coomalie,Not recorded,Northern Land Council,Not recorded,Daly,,131.105,-13.238,The Town is located 110km south of Darwin.
524,Adjamarragu - Family Outstation,895,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,132.476,-11.152,East end of airstrip at Adjamarrugu Pt.
571,Akarnenehe Well - Family Outstation,787,Akarnenehe and Apiwentye,Central Desert,Not recorded,Central Land Council,Not recorded,Namatjira,5,136.194,-23.06,"140Km SEALED 200Km DIRT 20Km E. OF H'way, 340kms VIA PLENTY H'WAY"
247,Akngwertnarre - Town Camp,3,Morris Soak,Alice Springs,Not recorded,Central Land Council,Not recorded,Braitling,44,133.861,-23.693,ALICE SPRINGS TOWN CAMP
370,Akwalirrumanja - Family Outstation,959,"4 Mile, Akwalirrumanja (4 Mile) and Four Mile",East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,19,136.779,-13.863,location vefified by GPS 16/12/99
145,Alamirra - Family Outstation,280,Alamirr,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,132.528,-11.067,12 km's from Minjilang
128,Alatyeye - Family Outstation,693,Turners Camp,Central Desert,Not recorded,Central Land Council,Not recorded,Namatjira,6,134.219,-23.097,170KM via Plenty H/Way
381,Alharrgan - Family Outstation,441,Cape Barron and Cape Barrow,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,8,136.053,-13.675,
680,Ali Curung - Major,202,"Ale-Kerange, Alekarenge, Warrabri and Warribri",Barkly,"Warlpiri, Alyawarr, Kaytetye and Warumungu.
",Central Land Council,Not recorded,Barkly,580,134.407,-21.003,"Ali Curung is located south east of Tennant Creek on the Warrabri Aboriginal Land Trust. Ali Curung is surrounded by Neutral Junction, Murray Downs and Singleton Pastoral Properties."
290,Alice Springs - Town,10219,,Alice Springs,Not recorded,Central Land Council,Not recorded,Braitling,,133.881,-23.699,The Town is located 1290km south of Darwin.
175,Alice Well - Family Outstation,852,Ritjingka,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,5,134.23,-24.881,"1:250,000 TOPOGRAPHICAL MAP REF SG 53-2 RODINGA.

36 KMS SOUTH OF TITJIKALA COMMUNITY., 145km SOUTH OF A/SPRINGS"
568,Alkipi - Family Outstation,4,"Alkipie, Alkpie, Mount Larry and Yalkipi",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,131.829,-23.274,"12KMS SOUTH WEST OF PAPUNYA, 260KMS VIA PAPUNYA"
305,Alkngarriintja - Family Outstation,769,Alkngarintja and Ilkilalama No.2,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,8,132.462,-23.956,"55KMS WEST OF H'BURG.*** '92 ATSIC NEEDS, 180KMS VIA H'BURG"
647,Alkuptija - Family Outstation,714,"Alkupitja, Gillan Bore and Gillans Bore",Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,30,133.694,-23.065,"The outstation is 77km by road from Alice Springs.  Turn off the Stuart Hwy 76 km from the Alice Springs PO and 6km north of the Plenty Hwy intersection then 1.3 km along a flat bladed track to the outstation., 75K NORTH OF A/S"
299,Alpara - Family Outstation,7,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,131.212,-25.915,"120KMS SOUTH OF AYERS ROCK, 590KMS FROM A/S VIA YULARA 560KM"
170,Alpurrurulam - Major,203,"Ilperrelhelam, Lake Nash and Wart Alparayetye",Barkly,Alyawarr,Central Land Council,Not recorded,Barkly,494,137.847,-20.984,Alpurrurulam is a Community Living Area south east of Tennant Creek within the Lake Nash Pastoral Property just west of the Queensland border.
