,COMMUNITY_ID,COMMUNITY_NAME,COMMUNITY_ALIASES,COMMUNITY_TYPE,MAIN_LANGUAGE,OTHER_LANGUAGES,LOCAL_GOVT COUNCIL,WARD,LAND_COUNCIL,ELECTORATE,POPULATION_COUNT,COMMUNITY_LOCATION,"Community based Essential Service Operators
•",Aboriginal Ranger Groups,Previous SETuP Community,Latitude,Longitude,EntityId,ABN,ORIC,Entity Name,Charity,OrganisationId,Operating As,Organisation Email,Organisation Website,Also Known As,OfficeId,Phone,Fax,Business Email,Business Website,FormattedStreetAddress
0,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.351,129.879,3497.0,30 429 895 164,,NATIONAL INDIGENOUS AUSTRALIANS AGENCY,N,7400.0,NATIONAL INDIGENOUS AUSTRALIANS AGENCY,,https://www.niaa.gov.au,,7471.0,(08) 8978 1364,,henry.wilson@network.pmc.gov.au,https://www.niaa.gov.au,"Lot 108, Nganmarriyanga NT ----"
1,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.351,129.879,763.0,23 925 634 422,,NGANMARRIYANGA COMMUNITY INC,N,763.0,NGANMARRIYANGA COMMUNITY INC,nganmarryanga@alpa.asn.au,https://www.alpa.asn.au/author/nganmarriyanga-store/,NGANMARRIYANGA COMMUNITY STORE,837.0,(08) 8978 2379,,nganmarryanga@alpa.asn.au,https://www.alpa.asn.au/author/nganmarriyanga-store/,"Lot 103, Nganmarriyanga NT ----"
2,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.351,129.879,2002.0,84 085 734 992,,NORTHERN TERRITORY OF AUSTRALIA,N,2005.0,NT DEPARTMENT OF EDUCATION,infocentre.det@nt.gov.au,https://directory.ntschools.net,NGANMARRIYANGA SCHOOL,6660.0,(08) 8978 2380,(08) 8978 2575,james.dobson@ntschools.net,https://directory.ntschools.net/#/schools/details/nganmsch,"Lot 39, Nganmarriyanga NT ----"
3,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.351,129.879,1110.0,41 159 696 849,,SCOTT HAMMET BUILDING & CARPENTRY PTY LTD,N,1110.0,SCOTT HAMMET BUILDING & CARPENTRY PTY LTD,,,,7963.0,,,,,"To be added, Nganmarriyanga NT ----"
4,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.351,129.879,1368.0,54 124 789 493,,THAMARRURR DEVELOPMENT CORPORATION LIMITED,Y,1368.0,THAMARRURR DEVELOPMENT CORPORATION LIMITED,pa@thamarrurr.org.au,http://thamarrurr.org.au,TDC CDP AND WOMENS CENTRE,6949.0,(08) 8978 2886,,lea.brady@thamarrurr.org.au,http://thamarrurr.org.au,"LOT 34, Nganmarriyanga NT ----"
5,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.351,129.879,2436.0,67 234 261 446,,TOP END HEALTH SERVICE,N,6200.0,TOP END HEALTH SERVICE,tehscoocorrespondence.doh@nt.gov.au,https://health.nt.gov.au/health-governance/top-end-health-service,PALUMPA HEALTH CENTRE,6658.0,(08) 8978 2359,,palumpa.clinicmgr@nt.gov.au,https://health.nt.gov.au/health-governance/top-end-health-service,"Lot 77, Nganmarriyanga NT ----"
6,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.351,129.879,809.0,25 966 579 574,,WEST DALY REGIONAL COUNCIL,N,809.0,WEST DALY REGIONAL COUNCIL,info@westdaly.nt.gov.au,https://www.westdaly.nt.gov.au,,6657.0,(08) 8978 2450,,admin.wadeye@westdaly.nt.gov.au,https://www.westdaly.nt.gov.au,"Lot 108, Nganmarriyanga NT ----"
7,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,2897.0,52 545 384 604,2987,DEEWIN KIRIM ABORIGINAL CORPORATION,Y,6740.0,DEEWIN KIRIM ABORIGINAL CORPORATION,peppi.cdep@deewinkirin.org.au,https://www.facebook.com/deewinkirim/,,6578.0,(08) 8978 2665,,peppi.cdep@deewinkirin.org.au,https://www.facebook.com/deewinkirim/,"Lot 17, Peppimenarti (Po Box) NT 0822"
8,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,3497.0,30 429 895 164,,NATIONAL INDIGENOUS AUSTRALIANS AGENCY,N,7400.0,NATIONAL INDIGENOUS AUSTRALIANS AGENCY,,https://www.niaa.gov.au,,7476.0,0409 513 101,,henry.wilson@network.pmc.gov.au,https://www.niaa.gov.au,"Lot 54, Peppimenarti (Po Box) NT 0822"
9,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,1411.0,56 327 515 336,,NORTHERN LAND COUNCIL,Y,1411.0,NORTHERN LAND COUNCIL,reception@nlc.org.au,https://www.nlc.org.au,,6585.0,1800 645 299,,reception@nlc.org.au,https://www.nlc.org.au,"Lot 48, Peppimenarti (Po Box) NT 0822"
10,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,2002.0,84 085 734 992,,NORTHERN TERRITORY OF AUSTRALIA,N,2024.0,"NORTHERN TERRITORY POLICE, FIRE AND EMERGENCY SERVICES",police.information@nt.gov.au,https://www.pfes.nt.gov.au/police,PEPPIMENARTI POLICE STATION,6580.0,(08) 8978 2143,,police.information@nt.gov.au,https://www.pfes.nt.gov.au/police,"Lot 49, Peppimenarti (Po Box) NT 0822"
11,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,N,-14.15,130.076,2002.0,84 085 734 992,,NORTHERN TERRITORY OF AUSTRALIA,N,2005.0,NT DEPARTMENT OF EDUCATION,infocentre.det@nt.gov.au,https://directory.ntschools.net,PEPPIMENARTI SCHOOL,6581.0,(08) 8978 2455,(08) 8978 2578,daven.scott@ntschools.net,https://directory.ntschools.net/#/schools/details/peppisch,"Lot 31, Peppimenarti (Po Box) NT 0822"
