,Start Date,End Date,Project Name,Recipient,Value,Project ID,Community ID,Local Government,Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,20,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,41,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,43,Macdonnell,Central Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,66,Macdonnell,Central Land Council
4,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,72,Macdonnell,Central Land Council
5,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,112,Macdonnell,Central Land Council
6,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,131,Macdonnell,Central Land Council
7,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"3,952.89",GA101749,145,Macdonnell,Central Land Council
8,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,20,Macdonnell,Central Land Council
9,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,41,Macdonnell,Central Land Council
10,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,43,Macdonnell,Central Land Council
11,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,66,Macdonnell,Central Land Council
12,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,72,Macdonnell,Central Land Council
13,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,112,Macdonnell,Central Land Council
14,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,131,Macdonnell,Central Land Council
15,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,992.96",GA101802,145,Macdonnell,Central Land Council
16,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,20,Macdonnell,Central Land Council
17,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,36,Macdonnell,Central Land Council
18,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,41,Macdonnell,Central Land Council
19,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,43,Macdonnell,Central Land Council
20,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,66,Macdonnell,Central Land Council
21,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,72,Macdonnell,Central Land Council
22,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,112,Macdonnell,Central Land Council
23,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,131,Macdonnell,Central Land Council
24,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,519.56",GA101811,145,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,20,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,36,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,41,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,43,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,66,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,72,Macdonnell,Central Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,112,Macdonnell,Central Land Council
4,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,131,Macdonnell,Central Land Council
5,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,271.25",GA101817,145,Macdonnell,Central Land Council
6,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,20,Macdonnell,Central Land Council
7,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,36,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,41,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,43,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,66,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,72,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,112,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,131,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,212.75",GA101818,145,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,20,Macdonnell,Central Land Council
3,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,36,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,41,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,43,Macdonnell,Central Land Council
0,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,66,Macdonnell,Central Land Council
1,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,72,Macdonnell,Central Land Council
2,13/07/2020,27/09/2020,COMMUNITY CHILD CARE FUND SPECIAL CIRCUMSTANCES - TRANSITION PAYMENT,MACDONNELL REGIONAL COUNCIL,"1,134.90",GA101819,112,Macdonnell,Central Land Council
