GA ID,Project Title,Agency,Approval Date,Publish Date,Category,Grant Term,Value (AUD),Ad hoc/One-off,Aggregate Grant Award,PBS Program Name,Grant Program,Grant Activity,Purpose,Internal Reference ID,Confidentiality - Contract,Confidentiality - Outputs,Recipient Name,Recipient ABN,Grant Recipient Suburb,Grant Recipient Town/City,Grant Recipient Postcode,Grant Recipient State/Territory,Grant Recipient Country,Grant Delivery State/Territory,Grant Delivery Postcode,Grant Delivery Country,Variations,Selection Process,GO ID,GO Title,Confidentiality Reason(s) - Contract,Variation 0 Grant Term Commencement,Variation 0 Grant Term Termination,Variation 0 Grant Value (AUD),Variation 1 Grant Term Commencement,Variation 1 Grant Term Termination,Variation 1 Grant Value (AUD),Variation 2 Grant Term Commencement,Variation 2 Grant Term Termination,Variation 2 Grant Value (AUD),Variation 3 Grant Term Commencement,Variation 3 Grant Term Termination,Variation 3 Grant Value (AUD),Variation 4 Grant Term Commencement,Variation 4 Grant Term Termination,Variation 4 Grant Value (AUD),Variation 5 Grant Term Commencement,Variation 5 Grant Term Termination,Variation 5 Grant Value (AUD),Variation 6 Grant Term Commencement,Variation 6 Grant Term Termination,Variation 6 Grant Value (AUD),Variation 7 Grant Term Commencement,Variation 7 Grant Term Termination,Variation 7 Grant Value (AUD),Variation 8 Grant Term Commencement,Variation 8 Grant Term Termination,Variation 8 Grant Value (AUD),Variation 9 Grant Term Commencement,Variation 9 Grant Term Termination,Variation 9 Grant Value (AUD)
GA101749,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"3,952.89",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119302,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101802,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"1,992.96",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119304,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101811,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"1,519.56",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119306,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101817,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"1,271.25",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119299,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101818,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"1,212.75",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119303,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101819,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"1,134.90",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119307,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101820,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,"1,046.25",Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119298,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101822,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,904.5,Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119301,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101830,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,428.67,Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119305,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA101831,Community Child Care Fund Special Circumstances - Transition Payment,"Department of Education, Skills and Employment",17-May-20,24-Jul-20,Child Care,13-Jul-2020 to 27-Sep-2020,381.42,Yes,No,DET 20/21 1.1 Support for the Child Care System,Child Care Services Support,Community Child Care Fund Special Circumstances - Transition Payment,"The objective of the grant is to keep services viable during a recovery period, so they can remain operational and continue to deliver quality and affordable child care, so that families can participate in the social and economic life of the community.",TP1119300,No,No,MacDonnell Regional Council,21 340 804 903,Alice Springs,,870,NT,AUSTRALIA,NT,872,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
