,COMMUNITY_ID,COMMUNITY_NAME,COMMUNITY_ALIASES,COMMUNITY_TYPE,MAIN_LANGUAGE,OTHER_LANGUAGES,LOCAL_GOVT COUNCIL,WARD,LAND_COUNCIL,ELECTORATE,POPULATION_COUNT,COMMUNITY_LOCATION,Coordinates,"Community based Aboriginal Corporations
","Community based Aboriginal business
•","Community based Essential Service Operators
•",Aboriginal Ranger Groups,Previous SETuP Community,Latitude,Longitude
514,404,NGANMARRIYANGA,PALUMPA,Major,Murrinh Patha,Not recorded,WEST DALY,NGANMARRIYANGA,NORTHERN LAND COUNCIL,DALY,458,Nganmarriyanga is located south west of Darwin on the Daly River/Port Keats Aboriginal Land Trust.,,,,,,N,-14.351,129.879
1341,410,PEPPIMENARTI,No aliases recorded with NTG DIPL,Major,Ngan'gikurunggurr,"Kriol, Murrinh Patha",WEST DALY,TYEMIRRI,NORTHERN LAND COUNCIL,DALY,209,Peppimenarti is located south west of Darwin on the edge of Tom Turners Creek on the Daly River/Port Keats Aboriginal Land Trust.,,,,,,N,-14.15,130.076
2223,426,WADEYE,PORT KEATS,Major,Murrinh Patha,Not recorded,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,2679,"Wadeye is located south west of Darwin at the mouth of the Fitzmaurice River, close to the coast of the Joseph Bonaparte Gulf. Wadeye is part of the Daly River/Port Keats Aboriginal Land Trust.",,,,,,N,-14.24,129.521
2564,329,GUNBALANYA,"KUNBARLLANJNJA,OENPELLI",Major,Kunwinjku,Not recorded,WEST ARNHEM,GUNBALANYA,NORTHERN LAND COUNCIL,ARAFURA,1312,"Gunbalanya is located east of Darwin within Arnhem Land near the East Alligator River on a small ridge between coastal black soil plain, marshes and the Arnhem Land Escarpment. Gunbalanya is part of the Arnhem Land Aboriginal Trust.",,,,,,Y,-12.324,133.056
3503,362,MANINGRIDA,No aliases recorded with NTG DIPL,Major,Burrarra,"Ndjebbana, Kunwinjku, Maung, Djambarrpuyngu, Kriol",WEST ARNHEM,MANINGRIDA,NORTHERN LAND COUNCIL,ARAFURA,2712,Maningrida is located on the Central Arnhem coast at the mouth of the Liverpool River east of Darwin and is part of the Arnhem Land Aboriginal Trust.,,,,,,Y,-12.051,134.224
4317,375,MINJILANG,CROKER ISLAND,Major,Iwaidja,Not recorded,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,290,Minjilang is located on Crooker Island north east of Darwin in the Arafura Sea as part of the Arnhem Land Aboriginal Land Trust.,,,,,,Y,-11.151,132.579
5348,429,WARRUWI,GOULBURN ISLAND,Major,Maung,Not recorded,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,457,"Warruwi is north east of Darwin on the eastern side of South Goulburn island, which is in the Arafura Sea. Warruwi is part of the Arnhem Land Aboriginal Land Trust.",,,,,,Y,-11.649,133.389
5575,591,DAGURAGU,"DAGARAGU,WATTIE CREEK",Major,Gurindji / Kriol,Not recorded,VICTORIA DALY,DAGURAGU,CENTRAL LAND COUNCIL,GWOJA,284,"Daguragu is located south west of Katherine, on the banks of Wattie Creek and near Kalkarindji on the Daguragu Aboriginal Land Trust.",,,,,,N,-17.401,130.805
6524,603,KALKARINDJI,"KALKARINGI,WAVE HILL",Major,Gurindji / Kriol,Not recorded,VICTORIA DALY,DAGURAGU,CENTRAL LAND COUNCIL,GWOJA,392,Kalkarindji is located south west of Katherine near the boarder of Wave Hill Pastoral Property and Daguragu community.,,,,,,N,-17.447,130.832
7479,397,NAUIYU,"DALY RIVER,NAMIYU,NAUIYU NAMBIYI,NAUIYU NAMBIYU",Major,Kriol,Ngan'gikurunggurr,VICTORIA DALY,MILNGIN,NORTHERN LAND COUNCIL,DALY,444,Nauiyu is located south of Darwin on the banks of the Daly River.,,,,,,Y,-13.751,130.689
7872,586,BULLA,"GUDABIJIN,GURRBIJIM",Minor,Westside Kriol/ Ngarinyman,Not recorded,VICTORIA DALY,TIMBER CREEK,NORTHERN LAND COUNCIL,GWOJA,105,Bulla is located west of Katherine near Judbarra / Gregory National Park as a Community Living Area within the Auvergne Pastoral Property.,,,,,,N,-15.765,130.039
8893,608,KYBROOK FARM,COPPERFIELD CREEK,Minor,Kriol,Not recorded,VICTORIA DALY,PINE CREEK,NORTHERN LAND COUNCIL,DALY,72,Kybrook Farm is located just south of Pine Creek at the entrance to Umbrawarra Gorge Nature Park.,,,,,,N,-13.863,131.822
9323,622,AMANBIDJI,"AMANBIDGEE STATION,KILDURK,MIALUNI",Major,Ngarinyman / Kriol,Not recorded,VICTORIA DALY,TIMBER CREEK,NORTHERN LAND COUNCIL,GWOJA,83,Amanbidji is located south east of Katherine on the Nagurunguru Aboriginal Land Trust near the West Baines River.,,,,,,N,-16.428,129.619
10649,639,PIGEON HOLE,BUNBIDEE,Minor,Gurindji / Ngarinyman,Not recorded,VICTORIA DALY,WALANGERI,NORTHERN LAND COUNCIL,GWOJA,141,Pigeon Hole is located south west of Katherine on the Bilinara Aboriginal Land Trust surrounded by Victoria River Downs Pastoral Property.,,,,,,N,-16.814,131.22
11599,658,YARRALIN,No aliases recorded with NTG DIPL,Major,Ngarinyman / Kriol,Not recorded,VICTORIA DALY,WALANGERI,NORTHERN LAND COUNCIL,GWOJA,344,Yarralin is located on the banks of the Wickham River south west of Katherine on the Ngalkarrang-Wulngann Aboriginal Land Trust surrounded by the Victoria River Downs Pastoral Property.,,,,,,N,-16.448,130.883
12062,374,MILIKAPITI,SNAKE BAY,Major,Tiwi (Modern and Traditional),Not recorded,TIWI ISLANDS,MILIKAPITI WARD,TIWI LAND COUNCIL,ARAFURA,471,Milikapiti is located on Melville Island north of Darwin nestled on hilly country on the edge of the large estuary of the Tjipripu River and part of the Tiwi Aboriginal Land Trust.,,,,,,N,-11.422,130.674
13138,400,WURRUMIYANGA,"ARSY,BATHURST ISLAND,NGUIU",Major,Tiwi (Modern and Traditional),Not recorded,TIWI ISLANDS,BATHURST ISLAND WARD,TIWI LAND COUNCIL,ARAFURA,1837,"Wurrumiyanga is located on Bathurst Island, north of Darwin at the southern entrance to the Apsley Strait.",,,,,,Y,-11.758,130.637
13756,411,PIRLANGIMPI,"GARDEN POINT,PULARUMPI",Major,Tiwi (Modern and Traditional),Not recorded,TIWI ISLANDS,PIRLANGIMPI WARD,TIWI LAND COUNCIL,ARAFURA,436,Pirlangimpi is located north of Darwin on  the north west coast of Melville Island  and part of the Tiwi Aboriginal Land Trust.,,,,,,N,-11.406,130.417
14553,258,ROBINSON RIVER,"MUNGOOBADA,MUNGOORBADA",Major,Eastside Kriol,Garawa,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,261,Robinson River is located south east of Borroloola on the banks of the Robinson River and Garawa Aboriginal Land Trust formally the old Robinson River Station.,,,,,,N,-16.76,136.981
15265,549,NUMBULWAR,ROSE RIVER,Major,Eastside Kriol,Nunggubuyu,ROPER GULF,NUMBULWAR NUMBURINDI,NORTHERN LAND COUNCIL,ARNHEM,850,"Numbulwar is located at the mouth of Rose River on the western coast of the Gulf of Carpentaria, and adjacent to the extreme SW coast of Groote Eylandt. Numbulwar is part of the Arnhem Land Aboriginal Land Trust.",,,,,,N,-14.279,135.741
15589,580,BARUNGA,BAMYILI,Major,Eastside Kriol,Not recorded,ROPER GULF,NYIRRANGGULUNG,NORTHERN LAND COUNCIL,ARNHEM,427,Barunga is located east of Katherine on the Beswick Aboriginal Land Trust.,,,,,,N,-14.524,132.867
16373,581,BESWICK,WUGULARR,Major,Eastside Kriol,Not recorded,ROPER GULF,NYIRRANGGULUNG,NORTHERN LAND COUNCIL,ARNHEM,624,Beswick is located on the banks of the Beswick Creek east of Katherine on the Beswick Aboriginal Land Trust.,,,,,,N,-14.555,133.114
17173,587,BULMAN,"GULIN GULIN,MARDRULK,YULNGU",Major,Eastside Kriol,Not recorded,ROPER GULF,NYIRRANGGULUNG,NORTHERN LAND COUNCIL,ARNHEM,329,Bulman is located north east of Katherine and next to Weemol on the Arnhem Land Aboriginal Land Trust.,,,,,,Y,-13.665,134.333
18135,593,JILKMINGGAN,"DJEMBERE,DJILKMINGGAN,DUCK CREEK,JILKMINGGAL",Minor,Eastside Kriol,Not recorded,ROPER GULF,NEVER NEVER,NORTHERN LAND COUNCIL,ARNHEM,354,Jilkminggan is located south east of Katherine near Elsey National Park on the Mangarrayi Aboriginal Land Trust.,,,,,,N,-14.953,133.3
19007,595,MANYALLALUK,EVA VALLEY,Minor,Eastside Kriol,Not recorded,ROPER GULF,NYIRRANGGULUNG,NORTHERN LAND COUNCIL,ARNHEM,108,"Manyallaluk is located north east of Katherine on the Manyallaluk Aboriginal Land Trust, just east of the Nitmiluk National Park boundary.",,,,,,N,-14.266,132.828
19819,624,MINYERRI,"HODGSON DOWNS,MINIYERI,MINIYERRE,MINIYERRI,MINYERE,MINYERI,MINYERRE",Major,Eastside Kriol,Not recorded,ROPER GULF,NEVER NEVER,NORTHERN LAND COUNCIL,ARNHEM,726,Minyerri is located south east of Katherine on the Alawa 1 Aboriginal Land Trust just west of the Hodgson River.,,,,,,Y,-15.222,134.082
20675,633,NGUKURR,ROPER RIVER,Major,Eastside Kriol,Not recorded,ROPER GULF,YUGUL MANGI,NORTHERN LAND COUNCIL,ARNHEM,1350,Ngukurr is located on the banks of the Roper River south east of Katherine and is part of the Arnhem Land Aboriginal Land Trust.,,,,,,Y,-14.732,134.732
21527,641,RITTARANGU,"URAPUNGA,YUGUL MANGI",Minor,Eastside Kriol,Not recorded,ROPER GULF,YUGUL MANGI,NORTHERN LAND COUNCIL,ARNHEM,160,Rittarangu is located east of Katherine on the Urapunga Aboriginal Land Trust between the Wilton and Roper River.,,,,,,N,-14.71,134.565
22404,654,WEEMOL,"WEEMOLL,WEMOOL",Minor,Kriol,Not recorded,ROPER GULF,NYIRRANGGULUNG,NORTHERN LAND COUNCIL,ARNHEM,329,Weemol is north east of Katherine and next to Bulman on the Arnhem Land Aboriginal Land Trust.,,,,,,N,-13.644,134.309
22504,9,AMOONGUNA,No aliases recorded with NTG DIPL,Major,Eastern Arrente,Not recorded,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,281,Amoonguna is located on the Amoonguna Aboriginal Land Trust just to the south east of Alice Springs.,,,,,,N,-23.766,133.936
23303,20,AREYONGA,UTJU,Major,Pitjantjatjara,"Luritja/Pintubi, Western Arrente",MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,229,Areyonga is located west of Alice Springs within the crevice of the surrounding hills on the Haasts Bluff Aboriginal Land Trust.,,,,,,Y,-24.074,132.271
24217,36,FINKE,"APATULA,APUTULA",Major,"Pitjantjatjara, Yankunytjatjara, Southern Luritja",Not recorded,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,226,"Finke is located near the South Australian boarder on and surrounded by the pastoral properties of Lilla Creek, Umbeara and New Crown with the Simpson Desert just west of the community.",,,,,,Y,-25.582,134.578
25046,41,HAASTS BLUFF,"IKUNTJI,KUNPARRKA",Major,Luritja/Pintupi,Not recorded,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,162,"Haasts Bluff is located west of Alice Springs on the Haasts Bluff Aboriginal Land Trust  amongst the West MacDonnell Ranges. To the north is Ulampawarru and Anyali (Mt Edward and Mt William), and to the south is the stunning Mereenie Bluff.",,,,,,N,-23.447,131.881
25825,43,HERMANNSBURG,NTARIA,Major,Western Arrernte,Not recorded,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,711,Hermannsburg is located west of Alice Springs on the Ntaria Aboriginal Land Trust just north of the Finke George National Park and on the banks of the Finke River,,,,,,N,-23.943,132.779
26619,51,IMANPA,MT EBENEZER,Major,Pitjantjatjara,Southern Luritja,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,177,Imanpa is a Community Living Area south west of Alice Springs within the Mt Ebenezer Pastoral Property.,,,,,,N,-25.131,132.57
27451,66,KALTUKATJARA,"DOCKER RIVER,KALKTUKATJARA",Major,Pitjantjatjara,Ngaatjatjara,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,463,"Kaltukatjara is located in the Petermann Ranges in the far south western corner of the Northern Territory, 7 kms east of the Western Australian border and part of the Petermann Aboriginal Trust.",,,,,,Y,-24.876,129.079
28240,72,KINTORE,"WALANGKURA,WALANGURA,WALUNGURRU",Major,Luritja/Pintupi,Not recorded,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,482,Kintore is located west of Alice Springs. It is nestled at the base of culturally important hills known as Pulikatjara ('two hills') near the Western Australia Border and part of the Haasts Bluff Aboriginal Land Trust.,,,,,,Y,-23.276,129.387
29135,112,MOUNT LIEBIG,"AMUNTURANGU,AMUNTURRUNGA,ANTURGUNU,MT LIEBIG,WATIYAWANU",Major,Luritja/Pintupi,Not recorded,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,199,Mount Liebig is located west of Alice Springs on the Haasts Bluff Aboriginal Land Trust at the western end of the Western McDonnell Ranges.,,,,,,Y,-23.266,131.273
